,Product,Minimum,Maximum,Average,Date
68,Tomato Big(Nepali) KG,25.0,30.0,28.0,2013-06-18
69,Tomato Small(Local) KG,22.0,26.0,24.0,2013-06-18
70,Turnip KG,45.0,50.0,48.0,2013-06-18
71,Turnip A KG,45.0,50.0,48.0,2013-06-18
72,Water Melon(Green) KG,12.0,15.0,14.0,2013-06-18
0,Apple(Jholey) KG,110.0,120.0,115.0,2013-06-19
1,Asparagus KG,100.0,125.0,115.0,2013-06-19
2,Bamboo Shoot KG,50.0,60.0,55.0,2013-06-19
3,Banana Per Dozen,70.0,80.0,75.0,2013-06-19
4,Bitter Gourd KG,20.0,25.0,23.0,2013-06-19
5,Bottle Gourd KG,18.0,20.0,19.0,2013-06-19
6,Brd Leaf Mustard KG,40.0,45.0,43.0,2013-06-19
7,Brinjal Long KG,22.0,26.0,24.0,2013-06-19
8,Brinjal Round KG,25.0,30.0,28.0,2013-06-19
9,Brocauli KG,70.0,80.0,75.0,2013-06-19
10,Cabbage(Local) KG,10.0,15.0,13.0,2013-06-19
11,Capsicum KG,55.0,60.0,58.0,2013-06-19
12,Carrot(Local) KG,38.0,42.0,40.0,2013-06-19
13,Cauli Local KG,25.0,30.0,28.0,2013-06-19
14,Celery KG,120.0,130.0,125.0,2013-06-19
15,Chilli Dry KG,170.0,180.0,175.0,2013-06-19
16,Chilli Green KG,35.0,40.0,38.0,2013-06-19
17,Christophine KG,35.0,40.0,38.0,2013-06-19
18,Clive Dry KG,70.0,80.0,75.0,2013-06-19
19,Clive Green KG,50.0,60.0,55.0,2013-06-19
20,Coriander Green KG,90.0,100.0,95.0,2013-06-19
21,Cow pea(Long) KG,25.0,30.0,28.0,2013-06-19
22,Cress Leaf KG,40.0,45.0,43.0,2013-06-19
23,Cucumber(Local) KG,30.0,35.0,33.0,2013-06-19
24,Fennel Leaf KG,45.0,50.0,48.0,2013-06-19
25,Fenugreek Leaf KG,40.0,45.0,43.0,2013-06-19
26,Fish Fresh KG,210.0,220.0,215.0,2013-06-19
27,French Bean(Local) KG,30.0,35.0,33.0,2013-06-19
28,Garlic Dry Chinese KG,100.0,110.0,105.0,2013-06-19
29,Garlic Dry Nepali KG,50.0,60.0,55.0,2013-06-19
30,Garlic Green KG,45.0,50.0,48.0,2013-06-19
31,Ginger KG,140.0,150.0,147.0,2013-06-19
32,Grapes(Green) KG,250.0,260.0,255.0,2013-06-19
33,Green Peas KG,55.0,60.0,58.0,2013-06-19
34,Gundruk KG,180.0,190.0,185.0,2013-06-19
35,Jack Fruit KG,20.0,25.0,23.0,2013-06-19
