,Product,Minimum,Maximum,Average,Date
27,Christophine KG,30,40,35,2023-04-18
28,Clive Dry KG,180,200,190,2023-04-18
29,Clive Green KG,40,50,45,2023-04-18
30,Coriander Green KG,40,50,45,2023-04-18
31,Cow pea(Long) KG,60,70,65,2023-04-18
32,Cress Leaf KG,100,110,105,2023-04-18
33,Cucumber(Hybrid) KG,40,50,45,2023-04-18
34,Cucumber(Local) KG,80,90,85,2023-04-18
35,Drumstick KG,50,60,55,2023-04-18
36,Fennel Leaf KG,100,110,105,2023-04-18
37,Fenugreek Leaf KG,100,110,105,2023-04-18
38,Fish Fresh(Bachuwa) KG,260,280,270,2023-04-18
39,Fish Fresh(Chhadi) KG,240,260,250,2023-04-18
40,Fish Fresh(Mungari) KG,300,330,315,2023-04-18
41,Fish Fresh(Rahu) KG,330,360,345,2023-04-18
42,French Bean(Hybrid) KG,30,35,32.67,2023-04-18
43,French Bean(Local) KG,20,25,22.33,2023-04-18
44,French Bean(Rajma) KG,70,80,75,2023-04-18
45,Garlic Dry Chinese KG,170,180,175,2023-04-18
46,Garlic Dry Nepali KG,90,100,95,2023-04-18
47,Garlic Green KG,50,60,55,2023-04-18
48,Ginger KG,120,130,125,2023-04-18
49,Grapes(Black) KG,200,230,215,2023-04-18
50,Grapes(Green) KG,120,150,135,2023-04-18
51,Green Peas KG,70,80,75,2023-04-18
52,Gundruk KG,250,300,275,2023-04-18
53,Jack Fruit KG,60,70,65,2023-04-18
54,Kinnow KG,120,150,135,2023-04-18
55,Kiwi KG,400,500,450,2023-04-18
56,Knolkhol KG,40,50,45,2023-04-18
57,Lettuce KG,40,50,45,2023-04-18
58,Lime KG,230,250,240,2023-04-18
59,Mandarin KG,225,250,237.5,2023-04-18
60,Mint KG,120,150,135,2023-04-18
61,Mushroom(Button) KG,300,350,326.67,2023-04-18
62,Mushroom(Kanya) KG,140,180,160,2023-04-18
63,Mustard Leaf KG,30,40,35,2023-04-18
64,Neuro KG,90,100,95,2023-04-18
65,Okara KG,50,60,55,2023-04-18
66,Onion Dry (Indian) KG,30,35,32,2023-04-18
67,Onion Green KG,30,35,32.67,2023-04-18
68,Orange(Indian) KG,140,150,145,2023-04-18
69,Papaya(Indian) KG,70,80,75,2023-04-18
70,Papaya(Nepali) KG,60,70,65,2023-04-18
71,Parseley KG,220,250,235,2023-04-18
72,Pear(Chinese) KG,225,250,237.5,2023-04-18
73,Pineapple 1 Pc,180,200,190,2023-04-18
74,Pointed Gourd(Local) KG,100,120,110,2023-04-18
75,Pointed Gourd(Terai) KG,90,100,95,2023-04-18
76,Pomegranate KG,225,250,237.5,2023-04-18
77,Potato Red KG,31,35,32.67,2023-04-18
78,Potato Red(Indian) KG,29,31,30,2023-04-18
79,Potato White KG,27,29,28,2023-04-18
80,Pumpkin KG,40,50,45,2023-04-18
81,Raddish White(Hybrid) KG,30,35,32.67,2023-04-18
82,Raddish White(Local) KG,20,25,22.33,2023-04-18
83,Red Cabbbage KG,40,50,45,2023-04-18
84,Smooth Gourd KG,30,35,32.67,2023-04-18
85,Snake Gourd KG,40,50,45,2023-04-18
86,Spinach Leaf KG,100,110,105,2023-04-18
87,Sponge Gourd KG,40,50,45,2023-04-18
88,Squash(Long) KG,25,30,27.67,2023-04-18
89,Squash(Round) KG,25,30,27.67,2023-04-18
90,Strawberry KG,250,300,275,2023-04-18
91,Sugarbeet KG,60,70,65,2023-04-18
92,Sweet Orange KG,180,200,190,2023-04-18
93,Sweet Potato KG,70,80,75,2023-04-18
94,Sword Bean KG,60,70,65,2023-04-18
95,Tamarind KG,150,160,155,2023-04-18
96,Tofu KG,120,130,125,2023-04-18
